Total Pay,Status
,FT
,FT
,FT
,FT
279700.0,PT
277860.0,PT
254212.0,FT
246190.0,FT
258191.0,PT
,FT
242591.0,PT
223419.0,FT
245464.0,PT
256797.0,FT
237512.0,FT
240417.0,FT
,PT
,FT
230336.0,PT
223994.0,FT
215759.0,FT
,FT
,PT
223705.0,PT
,FT
,FT
,PT
,FT
217868.0,FT
,FT
219171.0,FT
224146.0,PT
207632.0,FT
,PT
189401.0,FT
208039.0,FT
,FT
,PT
217807.0,FT
211356.0,FT
194833.0,FT
,PT
204356.0,PT
202996.0,FT
,FT
194920.0,FT
211313.0,PT
201618.0,FT
202393.0,PT
,FT
201553.0,FT
189556.0,FT
200230.0,PT
,PT
,PT
215658.0,FT
199191.0,FT
198591.0,FT
,FT
200241.0,FT
,FT
203153.0,PT
208905.0,FT
193255.0,FT
,PT
185892.0,FT
186100.0,FT
205420.0,FT
193186.0,FT
191123.0,FT
190943.0,PT
189877.0,FT
184734.0,FT
198199.0,FT
182917.0,FT
184096.0,FT
182143.0,FT
186487.0,FT
194435.0,PT
175389.0,FT
,FT
185560.0,FT
178002.0,FT
,FT
174988.0,FT
191719.0,PT
169242.0,FT
186611.0,FT
,PT
,PT
172820.0,FT
182584.0,PT
,FT
199322.0,FT
181912.0,PT
167443.0,PT
181815.0,PT
181791.0,FT
181451.0,PT
,FT
175017.0,PT
181196.0,FT
,FT
181969.0,PT
176826.0,FT
180211.0,PT
184475.0,PT
169129.0,FT
180303.0,PT
,FT
,FT
,FT
182952.0,FT
178102.0,PT
,FT
182399.0,PT
,FT
184850.0,FT
172764.0,FT
,FT
,FT
176027.0,FT
177026.0,FT
185922.0,FT
176309.0,FT
191015.0,FT
171088.0,FT
,FT
174180.0,FT
175768.0,FT
,FT
186650.0,PT
180388.0,FT
179962.0,FT
167807.0,PT
170448.0,PT
173070.0,PT
179486.0,FT
,FT
,FT
189863.0,FT
,PT
182148.0,FT
166532.0,FT
,FT
171511.0,PT
162709.0,FT
,PT
169670.0,FT
187740.0,FT
,FT
,FT
169936.0,PT
,FT
171210.0,FT
170941.0,FT
169526.0,PT
169781.0,PT
173014.0,FT
,FT
154393.0,PT
,FT
169023.0,FT
168004.0,PT
,FT
165564.0,FT
175449.0,PT
168099.0,FT
174722.0,FT
167972.0,FT
173083.0,PT
,FT
167478.0,FT
167923.0,PT
162975.0,FT
,FT
168629.0,FT
,PT
,FT
181033.0,FT
172678.0,FT
178562.0,FT
162949.0,FT
,FT
,PT
,FT
,FT
166816.0,FT
,FT
174371.0,PT
165206.0,FT
,FT
,FT
181804.0,FT
176990.0,FT
167421.0,FT
164480.0,FT
165951.0,FT
,FT
162128.0,FT
170389.0,FT
175265.0,FT
174323.0,FT
,FT
174685.0,FT
174617.0,PT
171591.0,FT
162448.0,PT
162303.0,FT
167492.0,FT
163703.0,FT
,FT
164398.0,FT
146351.0,PT
166278.0,PT
,FT
159849.0,FT
,PT
158474.0,PT
,FT
153647.0,PT
161176.0,FT
161161.0,FT
152954.0,PT
,FT
167248.0,FT
163788.0,FT
,FT
156670.0,FT
144678.0,PT
,PT
155477.0,FT
159682.0,FT
,FT
154896.0,PT
151728.0,FT
159795.0,PT
169382.0,FT
155821.0,FT
,PT
158633.0,PT
158435.0,FT
154657.0,FT
,FT
,FT
,FT
159260.0,FT
166524.0,FT
,FT
167014.0,FT
158359.0,FT
155583.0,FT
167649.0,FT
,PT
157411.0,FT
157344.0,FT
,FT
168675.0,FT
156974.0,FT
156815.0,PT
,PT
,PT
,FT
151755.0,FT
160076.0,FT
,FT
144109.0,PT
149661.0,FT
,FT
,PT
154584.0,FT
163999.0,PT
154590.0,FT
162440.0,PT
,FT
155181.0,FT
147511.0,PT
155784.0,PT
154138.0,PT
158913.0,PT
154820.0,FT
148495.0,FT
,FT
158513.0,PT
146124.0,FT
155080.0,FT
,FT
160005.0,FT
153399.0,PT
160271.0,FT
,FT
164985.0,FT
,PT
154598.0,PT
144413.0,FT
168360.0,FT
148910.0,FT
144266.0,FT
144834.0,FT
141239.0,FT
157564.0,FT
154053.0,FT
153644.0,PT
,FT
,FT
137101.0,FT
152112.0,FT
,FT
152136.0,FT
148079.0,FT
143921.0,FT
157856.0,FT
153036.0,FT
148905.0,FT
149915.0,FT
157793.0,FT
157652.0,FT
,FT
147189.0,FT
144867.0,PT
151030.0,PT
159908.0,PT
,FT
151034.0,FT
159754.0,PT
152522.0,FT
,PT
,PT
,FT
,FT
,FT
160784.0,PT
,PT
,FT
167269.0,FT
150564.0,FT
,FT
146656.0,FT
166323.0,PT
158921.0,PT
,FT
152741.0,FT
150291.0,PT
165536.0,FT
149073.0,FT
141653.0,FT
139397.0,FT
,FT
144266.0,FT
,FT
150307.0,FT
148875.0,PT
144173.0,FT
158952.0,FT
,FT
149085.0,FT
149933.0,FT
144413.0,FT
143799.0,FT
144983.0,FT
,FT
,FT
150290.0,FT
148323.0,FT
146387.0,PT
152790.0,FT
,PT
145145.0,FT
,FT
133230.0,PT
,FT
150659.0,FT
149308.0,FT
,FT
146696.0,PT
148601.0,FT
164775.0,PT
157003.0,FT
159519.0,FT
143694.0,FT
161985.0,FT
153623.0,PT
143458.0,FT
135983.0,FT
,FT
158963.0,FT
141414.0,PT
137739.0,FT
144548.0,FT
158995.0,FT
149024.0,FT
145307.0,FT
147612.0,FT
,FT
133057.0,PT
147401.0,FT
163631.0,FT
,FT
146611.0,FT
,FT
,FT
149377.0,FT
152864.0,FT
133107.0,PT
146809.0,FT
,FT
154646.0,FT
,FT
153096.0,PT
,FT
147237.0,FT
,FT
145458.0,PT
142951.0,PT
,FT
141081.0,FT
145266.0,PT
134515.0,PT
,FT
162005.0,FT
141713.0,FT
145693.0,FT
142697.0,FT
,FT
147570.0,FT
,FT
149507.0,FT
140157.0,FT
155894.0,PT
,FT
151085.0,FT
142135.0,FT
153032.0,PT
140604.0,FT
136351.0,FT
155761.0,FT
,FT
136918.0,PT
156435.0,PT
151274.0,FT
137331.0,FT
143414.0,FT
140312.0,FT
,PT
140128.0,PT
144159.0,PT
,PT
140723.0,FT
,FT
149745.0,FT
141371.0,FT
139948.0,PT
,FT
138142.0,FT
151641.0,FT
,FT
144134.0,FT
,FT
140112.0,FT
138109.0,FT
,FT
140752.0,FT
,FT
,PT
148778.0,FT
143027.0,FT
,FT
139295.0,FT
151648.0,FT
,FT
,FT
,FT
142948.0,FT
,FT
144787.0,FT
,FT
141765.0,FT
147477.0,FT
152792.0,FT
128295.0,FT
154741.0,FT
139303.0,FT
,FT
,PT
,FT
142992.0,FT
144241.0,FT
145853.0,FT
,PT
,FT
134154.0,FT
143865.0,FT
140006.0,FT
130362.0,FT
155319.0,FT
138724.0,FT
,FT
,FT
141697.0,FT
144033.0,FT
142382.0,FT
146024.0,PT
,PT
,FT
153737.0,FT
138115.0,FT
140577.0,FT
133376.0,FT
149067.0,FT
138478.0,PT
,FT
141975.0,FT
,FT
,FT
134129.0,PT
135312.0,FT
142091.0,FT
,FT
,PT
137699.0,FT
,FT
141850.0,PT
136927.0,FT
155477.0,FT
,FT
144606.0,FT
152146.0,FT
135949.0,FT
,FT
,PT
140107.0,FT
138324.0,PT
134714.0,PT
129478.0,PT
148479.0,FT
,FT
,PT
130522.0,PT
,FT
,FT
150500.0,FT
,FT
139947.0,FT
152176.0,FT
147049.0,FT
128478.0,FT
,PT
,FT
,FT
155411.0,FT
145904.0,PT
,PT
,FT
,FT
,PT
,FT
,FT
145135.0,PT
,FT
143093.0,FT
144373.0,PT
125804.0,FT
144374.0,FT
,FT
,FT
150771.0,FT
,FT
134332.0,FT
,FT
,FT
150026.0,FT
132049.0,FT
,FT
137611.0,FT
,FT
,PT
140532.0,FT
135396.0,PT
125273.0,FT
125977.0,FT
147482.0,FT
,FT
135724.0,PT
138861.0,PT
124468.0,FT
137842.0,FT
124661.0,PT
,FT
129764.0,FT
144860.0,FT
149098.0,PT
,FT
141662.0,FT
126148.0,FT
129904.0,FT
,PT
143802.0,FT
138025.0,FT
,FT
134786.0,FT
154204.0,FT
,FT
137726.0,FT
134154.0,FT
125663.0,FT
140961.0,FT
136776.0,PT
137535.0,FT
,FT
,FT
153882.0,FT
,FT
133374.0,FT
142091.0,FT
136478.0,FT
129073.0,FT
,FT
136386.0,FT
132438.0,PT
,FT
136607.0,FT
126957.0,FT
136321.0,PT
148892.0,FT
128605.0,FT
146178.0,FT
,FT
128612.0,FT
,PT
,FT
,FT
,FT
147132.0,FT
,FT
148534.0,FT
,FT
132330.0,FT
,FT
152390.0,FT
134979.0,PT
,FT
131403.0,FT
144289.0,FT
141756.0,PT
135438.0,FT
122768.0,FT
136028.0,FT
139706.0,FT
,PT
128332.0,PT
,FT
146299.0,FT
138260.0,FT
,FT
129727.0,PT
134988.0,FT
122015.0,FT
,FT
135520.0,FT
132342.0,FT
132953.0,FT
,FT
130614.0,FT
151431.0,FT
128135.0,PT
134391.0,FT
,PT
135860.0,FT
135879.0,FT
134115.0,FT
131639.0,FT
129217.0,PT
131786.0,FT
134280.0,FT
,FT
129226.0,FT
,FT
,FT
145456.0,FT
,FT
140708.0,FT
129347.0,FT
133789.0,FT
144593.0,FT
137588.0,FT
132718.0,FT
143339.0,PT
143089.0,FT
,PT
145320.0,FT
142367.0,FT
133195.0,FT
137187.0,FT
124651.0,FT
134090.0,FT
134037.0,FT
,FT
140210.0,FT
132762.0,FT
150163.0,FT
135196.0,FT
133804.0,FT
,FT
,FT
135784.0,FT
127540.0,PT
123332.0,PT
,FT
,FT
141880.0,FT
125266.0,FT
,PT
,FT
132120.0,FT
138649.0,FT
127584.0,FT
130777.0,FT
128693.0,FT
143907.0,FT
124568.0,PT
132037.0,PT
131579.0,FT
140651.0,FT
,FT
,FT
134441.0,PT
135515.0,FT
133027.0,FT
138474.0,FT
133117.0,FT
,FT
127004.0,FT
,FT
127861.0,FT
,FT
,FT
129312.0,FT
124948.0,FT
129225.0,PT
,FT
143387.0,FT
124088.0,FT
,PT
140616.0,FT
,PT
131357.0,PT
140722.0,FT
138389.0,PT
,FT
139842.0,FT
126508.0,FT
,FT
125943.0,FT
,FT
124661.0,FT
127172.0,FT
,FT
123950.0,FT
,FT
138550.0,FT
136207.0,FT
133807.0,FT
,FT
,PT
125034.0,FT
142025.0,FT
129122.0,FT
126912.0,FT
129051.0,FT
,FT
130443.0,FT
,FT
,FT
,FT
,PT
,FT
128376.0,PT
123939.0,FT
,FT
128678.0,PT
136954.0,FT
147228.0,FT
136456.0,FT
130049.0,FT
,PT
145538.0,FT
,FT
,FT
126517.0,FT
,FT
,FT
130145.0,FT
122619.0,FT
140951.0,FT
,FT
131143.0,FT
125957.0,FT
144140.0,FT
127218.0,PT
146831.0,FT
122288.0,FT
128975.0,FT
124222.0,PT
126893.0,FT
133778.0,FT
141314.0,PT
126157.0,FT
129524.0,FT
,FT
,FT
130326.0,FT
128788.0,FT
129781.0,FT
130352.0,FT
,FT
129662.0,PT
128669.0,FT
138436.0,FT
122655.0,FT
128965.0,PT
,PT
125776.0,FT
128986.0,FT
,FT
133810.0,FT
,PT
,FT
139871.0,FT
128842.0,FT
,FT
,FT
129229.0,FT
,PT
,FT
126377.0,PT
126874.0,FT
136921.0,FT
