MALICIOUS,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_AGE_DAYS,WHOIS_UPDATED_DAYS,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES
0,17,6,ISO-8859-1,nginx,US,AK,7995,1999,31,22,3,3812,39,37,18784,4380,39,8.0
0,17,6,UTF-8,None,US,TX,8212,573,57,2,5,4278,61,62,129889,4586,61,4.0
0,18,7,UTF-8,nginx,SC,Mahe,1179,1177,11,6,9,894,11,13,838,894,11,0.0
0,18,6,iso-8859-1,Apache/2,US,CO,6150,1240,12,0,3,1189,14,13,8559,1327,14,2.0
0,19,6,us-ascii,Microsoft-HTTPAPI/2.0,US,FL,8109,803,0,0,0,0,0,0,0,0,0,0.0
0,20,6,utf-8,Apache,US,Kansas,4277,1360,0,0,0,0,0,0,0,0,0,0.0
0,20,6,us-ascii,Microsoft-HTTPAPI/2.0,US,CO,920,919,0,0,0,0,0,0,0,0,0,0.0
0,20,7,utf-8,None,GB,None,6046,1085,16,6,8,1492,20,20,2334,1784,20,4.0
0,20,6,ISO-8859-1,nginx,None,None,6042,1503,25,19,4,3946,35,29,16408,4746,35,10.0
1,21,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,UK,None,6893,1515,7,0,1,717,11,10,1960,1011,11,4.0
1,21,7,iso-8859-1,nginx,RU,Novosibirskaya obl.,2197,1103,6,0,2,603,8,9,1580,745,8,2.0
0,21,6,us-ascii,Microsoft-HTTPAPI/2.0,None,None,7205,1337,7,7,3,618,7,9,562,618,7,0.0
1,22,7,us-ascii,Microsoft-HTTPAPI/2.0,US,CO,2084,825,9,0,4,850,11,9,1354,994,11,2.0
0,22,6,utf-8,openresty/1.11.2.1,US,CA,7390,1423,39,29,6,3833,43,42,22495,4125,43,4.0
0,22,6,iso-8859-1,nginx,US,Tennessee,5953,1432,8,6,6,696,8,10,636,696,8,0.0
0,22,6,iso-8859-1,Apache/2.2.22,None,None,3825,1052,4,3,2,420,4,6,372,420,4,0.0
0,22,7,utf-8,Apache/2.4.7 (Ubuntu),AU,Vi,3662,1111,12,0,2,2259,16,12,5165,2559,16,4.0
0,22,6,UTF-8,nginx/1.12.0,US,FL,6352,1165,6,0,3,650,10,10,1417,950,10,4.0
0,22,6,ISO-8859-1,Apache,US,OR,5251,847,0,0,0,0,0,0,0,0,0,0.0
0,22,6,ISO-8859-1,nginx/1.12.0,US,Texas,5126,1107,0,0,0,0,0,0,0,0,0,0.0
0,22,6,utf-8,nginx,CA,ALBERTA,6634,819,0,0,0,0,0,0,0,0,0,0.0
0,23,6,utf-8,Apache,US,FL,4110,836,16,3,11,1696,18,20,13422,1844,18,2.0
0,23,6,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,PA,PANAMA,4675,1264,0,0,0,0,0,0,0,0,0,0.0
0,23,6,us-ascii,Microsoft-HTTPAPI/2.0,se,None,6923,1108,0,0,0,0,0,0,0,0,0,0.0
0,23,7,ISO-8859-1,Oracle-iPlanet-Web-Server/7.0,None,None,6804,764,0,0,0,0,0,0,0,0,0,0.0
0,23,6,ISO-8859-1,None,US,Arizona,7091,634,7,4,5,630,7,4,244,630,7,0.0
0,23,6,None,None,US,TX,8340,1149,19,7,6,2404,23,20,6179,2684,23,4.0
0,23,6,UTF-8,None,GB,None,3920,1281,19,14,6,1980,23,25,5737,2276,23,4.0
0,23,6,UTF-8,None,US,WI,7343,1040,4,0,1,519,8,8,1138,823,8,4.0
0,23,6,UTF-8,cloudflare-nginx,US,Oregon,8094,1754,10,0,5,1186,14,15,1900,1476,14,4.0
0,23,6,ISO-8859-1,nginx/1.12.0,IN,Andhra Pradesh,5951,836,43,4,4,5738,47,50,56926,6046,47,4.0
0,23,6,iso-8859-1,Apache,US,CA,4031,1108,8,0,2,723,10,11,1837,871,10,2.0
0,23,6,ISO-8859-1,Apache,CA,AB,6210,1095,40,17,16,3285,46,45,12003,3729,46,6.0
0,23,6,us-ascii,Microsoft-HTTPAPI/2.0,None,None,4971,973,0,0,0,0,0,0,0,0,0,0.0
0,24,6,utf-8,openresty,LU,None,4717,898,84,54,5,10490,96,106,106925,11482,96,12.0
0,24,6,ISO-8859-1,None,US,VA,8428,1099,65,3,5,6286,69,75,90508,6596,69,4.0
0,24,7,utf-8,nginx,US,NY,8835,819,14,6,6,1907,18,18,5601,2171,18,4.0
0,24,6,utf-8,Heptu web server,None,None,7547,2392,7,7,3,618,7,9,562,618,7,0.0
0,24,6,utf-8,Pepyaka/1.11.3,None,None,1129,762,6,3,2,528,6,4,244,528,6,0.0
0,24,6,us-ascii,Microsoft-HTTPAPI/2.0,CA,quebec,2888,665,6,4,4,564,6,8,508,564,6,0.0
0,24,8,iso-8859-1,Apache/2.2.22,US,MA,3746,729,19,2,4,2131,23,23,9471,2441,23,4.0
0,24,6,utf-8,nginx/1.8.0,CA,ON,6294,1209,12,2,7,984,16,16,1839,1292,16,4.0
0,24,7,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,None,None,8865,831,16,6,8,2279,22,22,2562,2729,22,6.0
0,24,6,iso-8859-1,Apache/2,US,New Mexico,4437,1119,19,5,9,1390,21,25,3890,1540,21,2.0
0,24,6,UTF-8,Apache,PA,PANAMA,7783,728,23,3,15,2485,27,28,9332,2799,27,4.0
0,25,6,utf-8,Apache/2.2.29 (Amazon),CA,British Columbia,4988,790,0,0,0,0,0,0,0,0,0,0.0
0,25,7,utf-8,nginx,US,NY,8835,819,0,0,0,0,0,0,0,0,0,0.0
0,25,6,UTF-8,nginx,US,NY,5280,929,0,0,0,0,0,0,0,0,0,0.0
0,25,6,us-ascii,Microsoft-IIS/7.5,US,Massachusetts,4113,824,5,2,4,474,5,4,250,474,5,0.0
0,25,6,UTF-8,LiteSpeed,None,None,5237,2023,6,5,2,564,6,7,442,564,6,0.0
0,25,6,UTF-8,Apache,US,California,4642,994,12,0,5,1327,16,17,14050,1615,16,4.0
0,25,6,UTF-8,None,TH,bangkok,3318,544,18,7,9,1586,22,17,1735,1898,22,4.0
0,25,6,ISO-8859-1,Apache,US,CA,8074,828,36,17,9,4737,42,35,10343,5173,42,6.0
0,25,6,UTF-8,Apache,GB,WEST MIDLANDS,1049,890,0,0,0,0,0,0,0,0,0,0.0
0,25,6,us-ascii,Microsoft-HTTPAPI/2.0,US,CO,915,879,0,0,0,0,0,0,0,0,0,0.0
0,25,6,ISO-8859-1,Apache,US,California,3500,946,0,0,0,0,0,0,0,0,0,0.0
1,26,7,ISO-8859-1,nginx/1.12.0,US,TEXAS,4018,1096,24,0,3,2508,30,30,21098,2992,30,6.0
1,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,GB,WC1N,6822,1047,9,0,4,842,11,12,2101,994,11,2.0
1,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,GB,WC1N,6113,604,7,0,2,722,11,10,2000,1016,11,4.0
1,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,GB,WC1N,6113,604,7,0,2,722,11,9,1913,1036,11,4.0
0,26,6,utf-8,nginx,US,Kentucky,7881,1492,0,0,0,0,0,0,0,0,0,0.0
0,26,7,UTF-8,cloudflare-nginx,US,MD,6780,819,0,0,0,0,0,0,0,0,0,0.0
0,26,6,UTF-8,nginx,CA,ON,6316,827,0,0,0,0,0,0,0,0,0,0.0
0,26,6,iso-8859-1,Apache,PA,PANAMA,4181,921,0,0,0,0,0,0,0,0,0,0.0
0,26,6,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,None,None,8024,1084,13,0,1,1378,19,19,6226,1856,19,6.0
0,26,7,utf-8,nginx,US,NY,8835,819,26,19,5,2727,30,19,5765,2991,30,4.0
0,26,6,None,tsa_c,US,CA,7070,1023,43,39,3,6325,53,50,32025,7063,53,10.0
0,26,6,ISO-8859-1,nginx/1.12.0,US,NEW YORK,3686,823,9,7,4,702,9,10,696,702,9,0.0
0,26,7,utf-8,Apache/2.2.0 (Fedora),None,None,6776,900,11,9,7,882,11,9,562,882,11,0.0
0,26,6,UTF-8,None,CA,British Columbia,7723,604,4,3,2,396,4,6,482,396,4,0.0
0,26,6,iso-8859-1,Apache/2,US,FL,6939,1942,43,0,2,3252,47,47,60076,3564,47,4.0
0,26,7,utf-8,nginx,US,NY,8835,819,46,12,11,3783,50,18,5605,4047,50,4.0
0,26,7,utf-8,nginx,US,NY,8835,819,21,8,9,2373,25,27,6199,2637,25,4.0
0,26,6,utf-8,cloudflare-nginx,US,Washington,7160,1021,7,0,2,984,11,12,1650,1300,11,4.0
0,26,6,ISO-8859-1,nginx/1.12.0,US,Colorado,3264,1499,0,0,0,0,0,0,0,0,0,0.0
0,26,6,us-ascii,None,US,TX,6844,1933,0,0,0,0,0,0,0,0,0,0.0
0,26,6,UTF-8,cloudflare-nginx,US,PA,9179,809,0,0,0,0,0,0,0,0,0,0.0
0,26,6,UTF-8,nginx,US,LA,3189,1074,0,0,0,0,0,0,0,0,0,0.0
0,26,6,utf-8,nginx/1.12.0,US,Arizona,3684,666,0,0,0,0,0,0,0,0,0,0.0
1,27,7,UTF-8,Apache/2.2.22 (Debian),GB,WC1N,6923,1200,38,0,3,4207,44,45,39662,4679,44,6.0
1,27,7,UTF-8,Apache,US,PA,1593,819,9,0,1,1838,11,13,4524,1992,11,2.0
0,27,8,UTF-8,nginx,US,WA,1297,809,0,0,0,0,0,0,0,0,0,0.0
